m_smbh,coulomb_log,a_min_pc,reading,seed,elapsed_s,n_steps,final_time_gyr,hit_step_ceiling,n_mergers,max_mass,max_spin,p99_mass,n_gt_100,pct_gt_100,any_gt_100,n_emri,pct_emri,n_ejected,max_generation
12649110.0,16.353097414931497,0.001680853600896994,bh_inclusive,0,26.33194351196289,9786,10.0,False,2,99.85980827014836,0.0,97.48065612922296,0,0.0,False,568,56.8,0,2
12649110.0,16.353097414931497,0.001680853600896994,bh_inclusive,1,26.069183349609375,9731,10.0,False,3,103.93510911361709,0.6350466423867089,96.74500512612502,3,0.3,True,617,61.7,0,2
12649110.0,16.353097414931497,0.001680853600896994,bh_inclusive,2,26.61129379272461,9855,10.0,False,1,100.19423048103604,0.007540485687266097,96.39455129460063,2,0.2,True,595,59.5,0,2
12649110.0,16.353097414931497,0.001680853600896994,star_only,4,326.55828976631165,30848,10.0,False,114,295.7943066681752,0.6263798332937264,179.91458656426968,63,6.3,True,142,14.2,0,5
12649110.0,16.353097414931497,0.001680853600896994,bh_inclusive,3,23.512436151504517,9123,10.0,False,2,101.45425300715789,-0.021370115987409684,95.31758635346428,1,0.1,True,622,62.2,0,2
12649110.0,16.353097414931497,0.001680853600896994,bh_inclusive,5,24.812564849853516,9465,10.0,False,4,99.81394088020865,0.0,97.84431704373856,0,0.0,False,620,62.0,0,2
12649110.0,16.353097414931497,0.001680853600896994,bh_inclusive,4,29.785557746887207,10298,10.0,False,2,99.74589026566468,0.007557363071438417,97.42742802644462,0,0.0,False,583,58.3,0,2
12649110.0,16.353097414931497,0.001680853600896994,star_only,5,334.19322872161865,31982,10.0,False,100,639.2711526012379,0.20938292073252882,150.20669054226636,44,4.4,True,145,14.5,1,8
12649110.0,16.353097414931497,0.001680853600896994,bh_inclusive,6,24.789647102355957,9665,10.0,False,2,99.69395195052597,7.367312433939552e-05,97.98511606665927,0,0.0,False,589,58.9,0,2
12649110.0,16.353097414931497,0.001680853600896994,bh_inclusive,7,23.997794151306152,9480,10.0,False,1,99.73553957233608,0.0,97.4008767992089,0,0.0,False,598,59.8,0,2
12649110.0,16.353097414931497,0.001680853600896994,star_only,6,295.0309648513794,27674,10.0,False,82,311.4926361110341,-0.08393250488894101,158.64641833133,55,5.5,True,126,12.6,0,5
12649110.0,16.353097414931497,0.001680853600896994,star_only,7,347.92493891716003,33136,10.0,False,88,251.2199002602229,0.2664160912765764,157.09626280324974,46,4.6,True,149,14.9,0,5
40000000.0,17.50439001207821,0.002989026617574047,star_only,1,215.5434112548828,19376,10.0,False,33,148.72404439173357,0.20639371027974576,109.66686429172559,23,2.3,True,70,7.0,0,3
40000000.0,17.50439001207821,0.002989026617574047,star_only,0,236.5418622493744,21775,10.0,False,25,166.0907266763203,0.5593112537094331,107.49545931570421,18,1.8,True,94,9.4,0,3
40000000.0,17.50439001207821,0.002989026617574047,star_only,2,224.8182213306427,20333,10.0,False,17,185.30531147856672,0.5327297092012684,102.78059134756042,17,1.7,True,85,8.5,0,3
40000000.0,17.50439001207821,0.002989026617574047,star_only,3,231.46912121772766,21171,10.0,False,26,173.3867715392428,0.04442866222366009,106.74845321400554,19,1.9,True,82,8.2,0,4
40000000.0,17.50439001207821,0.002989026617574047,bh_inclusive,0,55.876347064971924,11038,10.0,False,2,100.47811306150298,0.007566407507508228,97.78119930700801,1,0.1,True,541,54.1,0,2
40000000.0,17.50439001207821,0.002989026617574047,star_only,4,222.65367484092712,20610,10.0,False,21,140.7373581709379,0.3725560099370054,105.05669957120546,25,2.5,True,88,8.8,0,3
40000000.0,17.50439001207821,0.002989026617574047,bh_inclusive,1,55.500136852264404,10735,10.0,False,5,143.4063861595984,-0.5813278906903098,98.07507878763022,8,0.8,True,539,53.9,0,2
40000000.0,17.50439001207821,0.002989026617574047,star_only,6,210.53731966018677,19238,10.0,False,22,168.84525453178853,-0.5745330841529515,106.12552928359275,24,2.4,True,70,7.0,0,3
40000000.0,17.50439001207821,0.002989026617574047,bh_inclusive,2,56.32201671600342,11009,10.0,False,1,101.58636062117617,0.03668707435364897,96.83066555726882,3,0.3,True,539,53.9,0,2
40000000.0,17.50439001207821,0.002989026617574047,star_only,5,232.32327723503113,21193,10.0,False,27,257.2133203978419,0.4564436765164553,106.66573118939748,23,2.3,True,92,9.2,0,3
40000000.0,17.50439001207821,0.002989026617574047,bh_inclusive,3,56.29816937446594,10926,10.0,False,1,101.31877406148705,-0.022132973252134612,95.88825973437497,4,0.4,True,565,56.5,0,2
40000000.0,17.50439001207821,0.002989026617574047,star_only,7,237.29819059371948,21934,10.0,False,13,139.87093099891408,0.601953266359315,102.50408950908735,16,1.6,True,90,9.0,0,2
